,city,country,Salario_Medio,Continent,sub-region,Alimentacao_Basica,Transp_Publico,Transp_Privado,Moradia_CentroCidade,Moradia_ForaCentroCidade,Final_de_Semana,CV1_1,CV1_2,CV2_1,CV2_2
830,Klaipeda,Lithuania,1093.88,Europe,Northern Europe,66.77000000000001,27.92,629.34,560.01,432.81,182.51000000000002,1438.6299999999999,837.21,1311.43,710.01
831,Dublin,Ireland,3177.2,Europe,Northern Europe,104.42,126.45,963.72,2291.7,2036.8,314.23,3674.07,2836.7999999999997,3419.17,2581.9
832,Cork,Ireland,2881.42,Europe,Northern Europe,95.55,85.35,957.32,1699.44,1407.91,266.39,3018.7000000000003,2146.73,2727.17,1855.1999999999998
833,Galway,Ireland,2433.67,Europe,Northern Europe,99.72999999999999,63.22,881.55,1629.21,1342.42,265.0,2875.49,2057.16,2588.7,1770.3700000000001
834,Limerick,Ireland,3074.64,Europe,Northern Europe,86.79999999999998,61.47,797.13,1520.3400000000001,1210.07,263.57,2667.84,1932.18,2357.57,1621.9099999999999
835,Waterford,Ireland,2710.5,Europe,Northern Europe,104.75999999999999,68.49,944.29,1299.77,1247.45,281.94,2630.7599999999998,1754.96,2578.44,1702.64
836,Wexford,Ireland,2072.37,Europe,Northern Europe,107.69,137.45,736.99,1398.3600000000001,1240.3,246.89999999999998,2489.94,1890.4,2331.88,1732.3400000000001
837,Tallinn,Estonia,1423.7,Europe,Northern Europe,80.21,31.61,755.63,997.86,805.0699999999999,242.56,2076.26,1352.24,1883.4699999999998,1159.4499999999998
838,Tartu,Estonia,1270.7,Europe,Northern Europe,74.26,23.71,657.81,689.0999999999999,600.8499999999999,198.11,1619.2799999999997,985.18,1531.0299999999997,896.93
839,Asuncion,Paraguay,354.73,Americas,Latin America and the Caribbean,48.510000000000005,23.28,504.78000000000003,450.21999999999997,341.37,88.49000000000001,1092.0,610.5,983.1500000000001,501.65000000000003
840,Lisbon,Portugal,1125.31,Europe,Southern Europe,73.30000000000001,42.15,904.38,1410.12,981.18,165.89999999999998,2553.7000000000003,1691.4699999999998,2124.76,1262.5299999999997
841,Vila Nova de Gaia,Portugal,1066.92,Europe,Southern Europe,77.09,42.15,962.92,868.65,640.34,134.97,2043.6299999999999,1122.86,1815.32,894.5500000000001
842,Porto,Portugal,1035.69,Europe,Southern Europe,61.89,42.15,815.37,965.5999999999999,791.1300000000001,138.98,1981.84,1208.62,1807.3700000000001,1034.15
843,Cascais,Portugal,1138.04,Europe,Southern Europe,57.660000000000004,42.15,875.91,1286.85,930.6899999999999,144.53999999999996,2364.96,1531.1999999999998,2008.7999999999997,1175.04
844,Braga,Portugal,1024.67,Europe,Southern Europe,58.34,27.4,817.37,767.55,613.0,123.04,1766.3,976.3299999999999,1611.75,821.78
