,Continent,Salario_Medio,Alimentacao_Basica,Transp_Publico,Transp_Privado,Moradia_CentroCidade,Moradia_ForaCentroCidade,Final_de_Semana,CV1_1,CV1_2,CV2_1,CV2_2
0,Africa,439.135306122449,51.370816326530615,21.470208333333332,642.3089795918368,520.7883673469388,359.08591836734695,100.58816326530612,1315.0563265306123,694.2175552721088,1153.3538775510203,532.515106292517
1,Americas,2986.231902834008,115.824918699187,54.65504166666666,679.328629032258,1386.9529032258065,1143.160120967742,217.66016194331982,2399.7666129005715,1775.09302553498,2155.973830642507,1531.3002432769154
2,Asia,996.9013903743315,61.501604278074865,26.38940860215054,779.8014054054055,631.7494117647059,479.06021390374326,137.3558918918919,1610.408313340078,856.9963165368232,1457.7191154791155,704.3071186758606
3,Europe,1960.9572413793103,83.099205955335,50.65611386138614,806.9475495049505,960.8675862068965,792.6176108374384,207.61766009852218,2058.532001765704,1302.2405661221399,1890.2820263962462,1133.9905907526818
4,Oceania,3407.96,115.31280000000001,76.85666666666667,696.8652000000001,1402.0372,1078.9712,265.9452,2480.1604,1860.1518666666666,2157.0944,1537.0858666666668
